URL does not exist
         394396 function calls (376828 primitive calls) in 2.525 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.010    0.003 http11.py:196(_receive_response_body)
        1    0.000    0.000    0.009    0.009 staggered.py:1(<module>)
        1    0.000    0.000    0.009    0.009 _htmlparser.py:1(<module>)
      483    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:632(cached)
     1468    0.005    0.000    0.009    0.000 typing.py:1188(__setattr__)
        4    0.000    0.000    0.009    0.002 http11.py:170(_receive_response_headers)
      370    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        1    0.000    0.000    0.009    0.009 _ssl.py:1(<module>)
       96    0.001    0.000    0.009    0.000 <frozen abc>:105(__new__)
        1    0.001    0.001    0.009    0.009 socket.py:1(<module>)
      340    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      325    0.002    0.000    0.008    0.000 css_parser.py:1094(selector_iter)
      247    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
       20    0.000    0.000    0.008    0.000 _tasks.py:95(fail_after)
        1    0.000    0.000    0.008    0.008 css_types.py:1(<module>)
        1    0.000    0.000    0.008    0.008 memory.py:1(<module>)
    17093    0.008    0.000    0.008    0.000 _parser.py:240(__next)
       40    0.000    0.000    0.008    0.000 contextlib.py:132(__enter__)
      119    0.004    0.000    0.008    0.000 enum.py:254(__set_name__)
      472    0.005    0.000    0.008    0.000 css_types.py:41(__init__)
      596    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
        1    0.000    0.000    0.007    0.007 _asyncio.py:1(<module>)
        1    0.000    0.000    0.007    0.007 ssl.py:465(wrap_bio)
        1    0.000    0.000    0.007    0.007 pathlib.py:1(<module>)
    42/41    0.000    0.000    0.007    0.000 {method 'encode' of 'str' objects}
  136/131    0.001    0.000    0.007    0.000 css_parser.py:385(freeze)
        1    0.000    0.000    0.007    0.007 ssl.py:441(_encode_hostname)
       11    0.000    0.000    0.007    0.001 _connection.py:426(next_event)
       27    0.000    0.000    0.007    0.000 dataclasses.py:627(_repr_fn)
        1    0.000    0.000    0.007    0.007 __init__.py:71(search_function)
      233    0.001    0.000    0.006    0.000 typing.py:1147(__init__)
     8810    0.004    0.000    0.006    0.000 _parser.py:256(match)
       21    0.000    0.000    0.006    0.000 dataclasses.py:568(_init_fn)
        1    0.000    0.000    0.006    0.006 _urlparse.py:1(<module>)
      147    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
       13    0.002    0.000    0.006    0.000 __init__.py:355(namedtuple)
        6    0.000    0.000    0.006    0.001 _asyncio.py:1316(send)
        1    0.000    0.000    0.006    0.006 pathlib.py:812(PureWindowsPath)
        1    0.000    0.000    0.006    0.006 pretty.py:1(<module>)
        5    0.006    0.001    0.006    0.001 {method 'send' of '_socket.socket' objects}
       16    0.000    0.000    0.006    0.000 _asyncio.py:2393(create_cancel_scope)
        1    0.000    0.000    0.006    0.006 <frozen importlib._bootstrap>:1171(exec_module)
        1    0.000    0.000    0.006    0.006 <frozen ntpath>:1(<module>)
